Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_4_crop,0.7336
Horse_2_crop,Horse_5_crop,0.6686
Horse_3_crop,Horse_3_crop,0.6922
Horse_4_crop,Horse_2_crop,0.7234
Horse_5_crop,Horse_1_crop,0.7088
Horse_6_crop,Horse_6_crop,0.6694
Horse_7_crop,Horse_7_crop,0.7130
