Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_4_crop,0.6683
Horse_2_crop,Horse_2_crop,0.6298
Horse_3_crop,Horse_3_crop,0.6146
Horse_4_crop,Horse_1_crop,0.6603
Horse_5_crop,Horse_5_crop,0.6153
Horse_6_crop,Horse_6_crop,0.5976
Horse_7_crop,Horse_7_crop,0.6322
