Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.8193
Horse_2_crop,Horse_2_crop,0.8273
Horse_3_crop,Horse_3_crop,0.8249
Horse_4_crop,Horse_4_crop,0.8474
Horse_5_crop,Horse_5_crop,0.8099
Horse_6_crop,Horse_6_crop,0.8296
Horse_7_crop,Horse_7_crop,0.8287
