Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.6881
Horse_2_crop,Horse_4_crop,0.6938
Horse_3_crop,Horse_3_crop,0.6807
Horse_4_crop,Horse_2_crop,0.6674
Horse_5_crop,Horse_5_crop,0.6809
Horse_6_crop,Horse_6_crop,0.7058
Horse_7_crop,Horse_7_crop,0.6906
