Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.7107
Horse_2_crop,Horse_2_crop,0.6946
Horse_3_crop,Horse_3_crop,0.7049
Horse_4_crop,Horse_4_crop,0.7169
Horse_5_crop,Horse_5_crop,0.7062
Horse_6_crop,Horse_6_crop,0.7316
Horse_7_crop,Horse_7_crop,0.7141
