Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.7455
Horse_2_crop,Horse_2_crop,0.7206
Horse_3_crop,Horse_3_crop,0.7354
Horse_4_crop,Horse_4_crop,0.7421
Horse_5_crop,Horse_5_crop,0.7256
Horse_6_crop,Horse_6_crop,0.7132
Horse_7_crop,Horse_7_crop,0.7384
