Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.6707
Horse_2_crop,Horse_2_crop,0.6436
Horse_3_crop,Horse_3_crop,0.6468
Horse_4_crop,Horse_4_crop,0.6688
Horse_5_crop,Horse_5_crop,0.6402
Horse_6_crop,Horse_6_crop,0.6200
Horse_7_crop,Horse_7_crop,0.6515
