Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.6664
Horse_2_crop,Horse_4_crop,0.6714
Horse_3_crop,Horse_3_crop,0.6386
Horse_4_crop,Horse_2_crop,0.6658
Horse_5_crop,Horse_5_crop,0.6345
Horse_6_crop,Horse_6_crop,0.6193
Horse_7_crop,Horse_7_crop,0.6497
