Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.8552
Horse_2_crop,Horse_2_crop,0.8631
Horse_3_crop,Horse_3_crop,0.8804
Horse_4_crop,Horse_4_crop,0.8681
Horse_5_crop,Horse_5_crop,0.8453
Horse_6_crop,Horse_6_crop,0.8608
Horse_7_crop,Horse_7_crop,0.8572
