Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.6383
Horse_2_crop,Horse_2_crop,0.6059
Horse_3_crop,Horse_3_crop,0.6020
Horse_4_crop,Horse_4_crop,0.6410
Horse_5_crop,Horse_5_crop,0.5967
Horse_6_crop,Horse_6_crop,0.5912
Horse_7_crop,Horse_7_crop,0.6128
