Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.6970
Horse_2_crop,Horse_2_crop,0.6662
Horse_3_crop,Horse_3_crop,0.6751
Horse_4_crop,Horse_4_crop,0.7026
Horse_5_crop,Horse_5_crop,0.6695
Horse_6_crop,Horse_6_crop,0.6630
Horse_7_crop,Horse_7_crop,0.6840
