Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.7037
Horse_2_crop,Horse_5_crop,0.6462
Horse_3_crop,Horse_3_crop,0.7313
Horse_4_crop,Horse_4_crop,0.7010
Horse_5_crop,Horse_2_crop,0.7218
Horse_6_crop,Horse_6_crop,0.5852
Horse_7_crop,Horse_7_crop,0.6961
