Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.6467
Horse_2_crop,Horse_6_crop,0.5999
Horse_3_crop,Horse_3_crop,0.6082
Horse_4_crop,Horse_4_crop,0.6421
Horse_5_crop,Horse_5_crop,0.5969
Horse_6_crop,Horse_2_crop,0.6178
Horse_7_crop,Horse_7_crop,0.6059
