Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_1_crop,0.7119
Horse_2_crop,Horse_2_crop,0.6841
Horse_3_crop,Horse_3_crop,0.6945
Horse_4_crop,Horse_4_crop,0.7111
Horse_5_crop,Horse_5_crop,0.6859
Horse_6_crop,Horse_6_crop,0.6757
Horse_7_crop,Horse_7_crop,0.7008
