Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_2_crop,0.6910
Horse_2_crop,Horse_6_crop,0.6639
Horse_3_crop,Horse_3_crop,0.6837
Horse_4_crop,Horse_4_crop,0.7103
Horse_5_crop,Horse_5_crop,0.6775
Horse_6_crop,Horse_1_crop,0.6936
Horse_7_crop,Horse_7_crop,0.6925
