Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_2_crop,0.7138
Horse_2_crop,Horse_1_crop,0.7081
Horse_3_crop,Horse_3_crop,0.7107
Horse_4_crop,Horse_4_crop,0.7303
Horse_5_crop,Horse_5_crop,0.7015
Horse_6_crop,Horse_6_crop,0.7014
Horse_7_crop,Horse_7_crop,0.7186
