Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_4_crop,0.6474
Horse_2_crop,Horse_2_crop,0.6085
Horse_3_crop,Horse_3_crop,0.5892
Horse_4_crop,Horse_1_crop,0.6354
Horse_5_crop,Horse_5_crop,0.5859
Horse_6_crop,Horse_6_crop,0.5741
Horse_7_crop,Horse_7_crop,0.6026
