Reference Horse,Comparison Horse,Score
Horse_1_crop,Horse_2_crop,0.7078
Horse_2_crop,Horse_6_crop,0.6226
Horse_3_crop,Horse_3_crop,0.6760
Horse_4_crop,Horse_4_crop,0.7163
Horse_5_crop,Horse_5_crop,0.6646
Horse_6_crop,Horse_1_crop,0.7041
Horse_7_crop,Horse_7_crop,0.6922
